Spotify ID,Title,Artist,Album,Release Date
1XwcDpv2plrkmsgqbQ1pN0,Warriors - English Rap,"G. V. Prakash, Yogi B",Aadukalam (Original Motion Picture Soundtrack),2010-11-08
7sqV0WltFRNTFV8vO0FF5n,You Came to Me - English,Sami Yusuf,Wherever You Are,2010-11-20
0EMvinqOMUgmrIk0gGYN6A,Fire (English Version),"Rajesh Roshan, Vishal Dadlani, Anirudh Bhola, Anushka Manchanda",Kites,2010-03-29
2wElU1dGEQDSbKMw1Hgao1,Dua After Adhan English,Simtech Productions,The World of Adhan,2010-01-20
14Qcrx6Dfjvcj0H8oV8oUW,"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,The London Symphony Orchestra: The Top 100 of Classical Music,2010-01-11
50KVOLNNqft8SJr5ybrv8G,"Rigoletto, Act III: La donna è mobile","Giuseppe Verdi, Luciano Pavarotti, London Symphony Orchestra, Richard Bonynge",Pavarotti singt Verdi,2010-01-01
6ldSwPT1CABVNpOHa6Nc2w,Mahamrityunjay Mantra With Rhythm Ver 3 With English Commentry,Jagjit Singh,Mahamrutunjaya Mantra,2010-02-27
7btw9npFENRuRvbVlyuXTR,"Swan Lake, Op. 20, Pt. 2: IV. Danses des petits cygnes","Pyotr Ilyich Tchaikovsky, Royal Philharmonic Orchestra, Nicolae Moldoveanu",Tchaikovsky: Complete Ballets,2010
1SYpV19tXoGy1irfDAnhlB,Maruti Stotraa,Rajendra Vaishampayan & Natasha Dias,Baal Sanskar English,2010-04-01
2TpC4eHsuJ4qoyblJgRgUh,Raam Raksha,Rajendra Vaishampayan & Natasha Dias,Baal Sanskar English,2010-04-01
0fuisTTUpwnst6x34QD6Mg,"English Suite No. 3 in G Minor, BWV 808: V. Gavotte II (arr. as Musette)","Johann Sebastian Bach, Shinichi Suzuki, Takako Nishizaki, Terence Dennis","Takako Nishizaki Plays Suzuki Evergreens, Vol. 1",2010-05-25
39jcHJpE1lT1iYGxaCofEM,Can't Nobody - English Version,2NE1,To Anyone,2010-09-09
5bGZzyGeEMPJiSHl93qe8B,Arrietty's Song - English Version,Cécile Corbel,Kari-gurashi,2010-04-07
1km5lMzbOiWPfYWeJbJow0,Manache Shlok,Rajendra Vaishampayan & Natasha Dias,Baal Sanskar English,2010-04-01
1Jg0jj7v6WqROhUNAmLPXO,"English Suite No. 3 in G Minor, BWV 808: V. Gavotte II","Johann Sebastian Bach, Terence Dennis","Takako Nishizaki Plays Suzuki Evergreens, Vol. 1",2010-05-25
2aCt0uqi9RrcUGMjX1hFQI,Ashes of Dreams / New - English Version,SQUARE ENIX MUSIC,NieR Gestalt & NieR Replicant Original Soundtrack,2010-04-21
4chIXnAR8yNZqfN4RKIYgl,Over the Waves,London Symphony Orchestra,The London Symphony Orchestra: The Top 100 of Classical Music,2010-01-11
5r6LzsarhC4Ygt8mFzSgYV,Wedding Dress - English Version,TAEYANG,Solar International,2010-08-19
6mfzChQftMMOpP6Z67VLeu,"Eine kleine Nachtmusik in G major, K 525: I. Allegro",London Symphony Orchestra,The London Symphony Orchestra: The Top 100 of Classical Music,2010-01-11
5DucOwNmWLk8SdNMWNjgGw,Gayatri Mantra Harmony(English Commentry),Jagjit Singh,Gayatri Mantra-----Jagjit Singh,2010-02-17
6gfBkANhB2EMpB1Jbnjrg8,"""Dance Of The Hours"" from La Gioconda",London Symphony Orchestra,The London Symphony Orchestra: The Top 100 of Classical Music,2010-01-11
24yI12lKyeNrN7yEAPVc8j,One Summer's Day,"Joe Hisaishi, London Symphony Orchestra",メロディフォニー,2010-10-27
1RQIsYl31BghwNTvu6HcLw,One Summer's Day - from 'Spirited Away',"Joe Hisaishi, London Symphony Orchestra",One Summer's Day (from 'Spirited Away'),2010
2Cxe8qnbsyeXCOpNg05KVl,Summer,"Joe Hisaishi, London Symphony Orchestra",メロディフォニー,2010-10-27
